# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu-clock'
# Event count (approx.): 5971971966
#
# Overhead  Shared Object     Symbol                                        IPC   [IPC Coverage]
# ........  ................  ............................................  ....................
#
     0.18%  python3.10d       [.] visit_decref                              -      -            
     0.17%  python3.10d       [.] PyThreadState_Get                         -      -            
     0.17%  python3.10d       [.] _PyObject_GenericGetAttrWithDict          -      -            
     0.17%  python3.10d       [.] long_compare.lto_priv.0                   -      -            
     0.17%  python3.10d       [.] long_lshift.lto_priv.0                    -      -            
     0.17%  python3.10d       [.] long_rshift.lto_priv.0                    -      -            
     0.17%  python3.10d       [.] pymalloc_pool_extend                      -      -            
     0.17%  python3.10d       [.] 0x0000000000022670                        -      -            
     0.15%  libc.so.6         [.] 0x00000000001a106d                        -      -            
     0.15%  python3.10d       [.] PyObject_Free                             -      -            
     0.15%  python3.10d       [.] _PyUnicode_CheckConsistency               -      -            
     0.15%  python3.10d       [.] list_append.lto_priv.0                    -      -            
     0.15%  python3.10d       [.] list_insert.lto_priv.0                    -      -            
     0.15%  python3.10d       [.] list_repeat.lto_priv.0                    -      -            
     0.15%  python3.10d       [.] list_traverse.lto_priv.0                  -      -            
     0.15%  python3.10d       [.] long_add.lto_priv.0                       -      -            
     0.15%  python3.10d       [.] long_rshift1                              -      -            
     0.15%  python3.10d       [.] rangeiter_next.lto_priv.0                 -      -            
     0.15%  python3.10d       [.] stringlib_bytes_join                      -      -            
     0.13%  python3.10d       [.] PyCallable_Check                          -      -            
     0.13%  python3.10d       [.] PyErr_Occurred                            -      -            
     0.13%  python3.10d       [.] PyLong_FromSsize_t                        -      -            
     0.13%  python3.10d       [.] PyNumber_Subtract                         -      -            
     0.13%  python3.10d       [.] PyUnicode_InternInPlace                   -      -            
     0.13%  python3.10d       [.] descr_check.lto_priv.0                    -      -            
     0.13%  python3.10d       [.] get_type_cache.lto_priv.0                 -      -            
     0.13%  python3.10d       [.] insert_to_usedpool                        -      -            
     0.13%  python3.10d       [.] is_tstate_valid.lto_priv.0                -      -            
     0.13%  python3.10d       [.] list_pop.lto_priv.0                       -      -            
     0.12%  python3.10d       [.] PyNumber_InPlaceAdd                       -      -            
     0.12%  python3.10d       [.] bytes_repeat                              -      -            
     0.12%  python3.10d       [.] long_and.lto_priv.0                       -      -            
     0.12%  python3.10d       [.] lookdict_unicode                          -      -            
     0.10%  python3.10d       [.] PyBuffer_Release                          -      -            
     0.10%  python3.10d       [.] PyObject_GetAttr                          -      -            
     0.10%  python3.10d       [.] cfunction_vectorcall_FASTCALL.lto_priv.0  -      -            
     0.10%  python3.10d       [.] visit_reachable                           -      -            
     0.08%  libc.so.6         [.] 0x00000000001a0b8a                        -      -            
     0.08%  libc.so.6         [.] 0x00000000001a1146                        -      -            
     0.08%  python3.10d       [.] _PyBytes_FromList                         -      -            
     0.08%  python3.10d       [.] _PyTrash_begin                            -      -            
     0.08%  python3.10d       [.] method_get.lto_priv.0                     -      -            
     0.07%  libc.so.6         [.] 0x00000000001a0a62                        -      -            
     0.07%  python3.10d       [.] PyNumber_And                              -      -            
     0.07%  python3.10d       [.] PyObject_GenericSetAttr                   -      -            
     0.07%  python3.10d       [.] PyObject_IsTrue                           -      -            
     0.07%  python3.10d       [.] _PyObject_GetDictPtr                      -      -            
     0.07%  python3.10d       [.] _PyTrash_end                              -      -            
     0.07%  python3.10d       [.] r_object                                  -      -            
     0.07%  python3.10d       [.] sre_ucs1_search.lto_priv.0                -      -            
     0.07%  [unknown]         [k] 0xffffffffbdadcad4                        -      -            
     0.07%  [unknown]         [k] 0xffffffffbe158045                        -      -            
     0.05%  libc.so.6         [.] 0x00000000001a1087                        -      -            
     0.05%  libc.so.6         [.] 0x00000000001a114f                        -      -            
     0.05%  python3.10d       [.] PyNumber_InPlaceAnd                       -      -            
     0.05%  python3.10d       [.] PyNumber_Lshift                           -      -            
     0.05%  python3.10d       [.] PyObject_GC_Del                           -      -            
     0.05%  python3.10d       [.] _PyEval_SliceIndex                        -      -            
     0.05%  python3.10d       [.] _PyObject_GC_Alloc                        -      -            
     0.05%  python3.10d       [.] _Py_convert_optional_to_ssize_t           -      -            
     0.05%  python3.10d       [.] _io__Buffered_read_impl.lto_priv.0        -      -            
     0.05%  python3.10d       [.] allocate_from_new_pool                    -      -            
     0.05%  python3.10d       [.] listiter_next.lto_priv.0                  -      -            
     0.05%  python3.10d       [.] meth_dealloc.lto_priv.0                   -      -            
     0.05%  python3.10d       [.] slice_dealloc.lto_priv.0                  -      -            
     0.05%  [unknown]         [k] 0xffffffffbd8deecd                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a0880                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a0891                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a0a04                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a0a33                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a108d                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a10ce                        -      -            
     0.03%  libc.so.6         [.] 0x00000000001a1142                        -      -            
     0.03%  python3.10d       [.] PyCMethod_New                             -      -            
     0.03%  python3.10d       [.] PyDict_GetItemWithError                   -      -            
     0.03%  python3.10d       [.] PyDict_SetDefault                         -      -            
     0.03%  python3.10d       [.] PyNumber_InPlaceLshift                    -      -            
     0.03%  python3.10d       [.] PyNumber_Multiply                         -      -            
     0.03%  python3.10d       [.] PyNumber_Rshift                           -      -            
     0.03%  python3.10d       [.] PyObject_GC_UnTrack                       -      -            
     0.03%  python3.10d       [.] PyObject_IS_GC                            -      -            
     0.03%  python3.10d       [.] PySlice_AdjustIndices                     -      -            
     0.03%  python3.10d       [.] PySlice_Unpack                            -      -            
     0.03%  python3.10d       [.] PyType_GenericAlloc                       -      -            
     0.03%  python3.10d       [.] PyUnicode_New                             -      -            
     0.03%  python3.10d       [.] _PyObject_LookupAttrId                    -      -            
     0.03%  python3.10d       [.] _PyPegen_is_memoized                      -      -            
     0.03%  python3.10d       [.] _sre_SRE_Pattern_search                   -      -            
     0.03%  python3.10d       [.] find_name_in_mro.lto_priv.0               -      -            
     0.03%  python3.10d       [.] gc_list_size                              -      -            
     0.03%  python3.10d       [.] intern_strings                            -      -            
     0.03%  python3.10d       [.] list_pop_impl                             -      -            
     0.03%  python3.10d       [.] move_unreachable                          -      -            
     0.03%  python3.10d       [.] pattern_new_match                         -      -            
     0.03%  python3.10d       [.] siphash24                                 -      -            
