# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock'
# Event count (approx.): 16095095079
#
# Overhead  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ....................  ..........................................  ....................
#
     0.16%  python3.10d           [.] 0x0000000000021100                      -      -            
     0.15%  python3.10d           [.] PyCallable_Check                        -      -            
     0.15%  python3.10d           [.] PyObject_SetAttr                        -      -            
     0.15%  python3.10d           [.] _PyObjectDict_SetItem                   -      -            
     0.14%  libc.so.6             [.] 0x00000000001a10c9                      -      -            
     0.14%  python3.10d           [.] list_subscript.lto_priv.0               -      -            
     0.14%  python3.10d           [.] PyNumber_Add                            -      -            
     0.14%  python3.10d           [.] list_ass_item.lto_priv.0                -      -            
     0.13%  python3.10d           [.] _PyDict_CheckConsistency                -      -            
     0.13%  python3.10d           [.] enum_next.lto_priv.0                    -      -            
     0.13%  python3.10d           [.] long_lshift.lto_priv.0                  -      -            
     0.12%  libc.so.6             [.] 0x00000000001a106d                      -      -            
     0.12%  python3.10d           [.] PyNumber_InPlaceAdd                     -      -            
     0.12%  python3.10d           [.] long_rshift1                            -      -            
     0.12%  [unknown]             [k] 0xffffffff98758045                      -      -            
     0.12%  python3.10d           [.] list_ass_subscript.lto_priv.0           -      -            
     0.12%  python3.10d           [.] pymalloc_pool_extend                    -      -            
     0.11%  libc.so.6             [.] malloc                                  -      -            
     0.11%  libc.so.6             [.] 0x00000000001a10c4                      -      -            
     0.11%  python3.10d           [.] validate_list                           -      -            
     0.10%  libc.so.6             [.] 0x00000000001a10ce                      -      -            
     0.10%  python3.10d           [.] PyBytes_FromStringAndSize               -      -            
     0.10%  python3.10d           [.] _PyObject_GetDictPtr                    -      -            
     0.09%  libc.so.6             [.] 0x00000000001a10d3                      -      -            
     0.09%  libc.so.6             [.] cfree                                   -      -            
     0.09%  libc.so.6             [.] 0x00000000000a1757                      -      -            
     0.09%  libc.so.6             [.] 0x00000000001a1142                      -      -            
     0.09%  python3.10d           [.] PyBuffer_Release                        -      -            
     0.09%  python3.10d           [.] _PyBytes_FromList                       -      -            
     0.09%  python3.10d           [.] _PyTrash_cond                           -      -            
     0.09%  python3.10d           [.] descr_check.lto_priv.0                  -      -            
     0.08%  python3.10d           [.] striter_next.lto_priv.0                 -      -            
     0.07%  python3.10d           [.] _PyDict_LoadGlobal                      -      -            
     0.07%  python3.10d           [.] builtin_len                             -      -            
     0.07%  python3.10d           [.] _PyTrash_begin                          -      -            
     0.07%  python3.10d           [.] _PyUnicode_CheckConsistency             -      -            
     0.06%  python3.10d           [.] PyDict_SetItem                          -      -            
     0.06%  python3.10d           [.] PySlice_Unpack                          -      -            
     0.06%  python3.10d           [.] gallop_left                             -      -            
     0.06%  python3.10d           [.] list_new_prealloc                       -      -            
     0.06%  python3.10d           [.] lookdict_unicode                        -      -            
     0.06%  python3.10d           [.] visit_decref                            -      -            
     0.06%  libc.so.6             [.] 0x00000000000a4258                      -      -            
     0.06%  python3.10d           [.] PyErr_Occurred                          -      -            
     0.06%  python3.10d           [.] PyNumber_Subtract                       -      -            
     0.06%  python3.10d           [.] PyObject_Size                           -      -            
     0.06%  python3.10d           [.] PyUnicode_InternInPlace                 -      -            
     0.06%  python3.10d           [.] long_rshift.lto_priv.0                  -      -            
     0.05%  libc.so.6             [.] 0x00000000000a2e14                      -      -            
     0.05%  libc.so.6             [.] 0x00000000001a1087                      -      -            
     0.05%  libc.so.6             [.] 0x00000000001a10e4                      -      -            
     0.05%  libc.so.6             [.] 0x00000000001a10e9                      -      -            
     0.05%  python3.10d           [.] _PyDict_ContainsId                      -      -            
     0.05%  python3.10d           [.] list_resize                             -      -            
     0.05%  python3.10d           [.] long_and.lto_priv.0                     -      -            
     0.04%  libc.so.6             [.] 0x00000000001a0b8a                      -      -            
     0.04%  python3.10d           [.] _PyObject_IsFreed                       -      -            
     0.04%  python3.10d           [.] list_iter.lto_priv.0                    -      -            
     0.04%  python3.10d           [.] rangeiter_next.lto_priv.0               -      -            
     0.04%  libc.so.6             [.] 0x00000000000a45c2                      -      -            
     0.04%  libc.so.6             [.] 0x00000000001a106a                      -      -            
     0.04%  libc.so.6             [.] 0x00000000001a10f3                      -      -            
     0.04%  libc.so.6             [.] 0x00000000001a114f                      -      -            
     0.04%  python3.10d           [.] PyMem_Free                              -      -            
