# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu-clock'
# Event count (approx.): 3494494491
#
# Overhead  Shared Object         Symbol                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................  ....................
#
     0.14%  python3.10d           [.] PyThread_tss_is_created                            -      -            
     0.14%  python3.10d           [.] _PyObject_Free                                     -      -            
     0.14%  python3.10d           [.] _PyObject_IsFreed                                  -      -            
     0.14%  python3.10d           [.] address_in_range                                   -      -            
     0.14%  python3.10d           [.] insertdict                                         -      -            
     0.14%  python3.10d           [.] type_call.lto_priv.0                               -      -            
     0.11%  python3.10d           [.] BB_setitem                                         -      -            
     0.11%  python3.10d           [.] PyLong_FromLong                                    -      -            
     0.11%  python3.10d           [.] PyLong_FromLongLong                                -      -            
     0.11%  python3.10d           [.] PyNumber_AsSsize_t                                 -      -            
     0.11%  python3.10d           [.] PyTuple_New                                        -      -            
     0.11%  python3.10d           [.] PyUnicode_InternInPlace                            -      -            
     0.11%  python3.10d           [.] _PyMem_DebugRawMalloc                              -      -            
     0.11%  python3.10d           [.] _PyObject_Call_Prepend                             -      -            
     0.11%  python3.10d           [.] _PyObject_FastCallDictTstate                       -      -            
     0.11%  python3.10d           [.] _PyObject_GetDictPtr                               -      -            
     0.11%  python3.10d           [.] _PyTrash_cond                                      -      -            
     0.11%  python3.10d           [.] convertsimple                                      -      -            
     0.11%  python3.10d           [.] long_richcompare.lto_priv.0                        -      -            
     0.11%  python3.10d           [.] min_max                                            -      -            
     0.11%  python3.10d           [.] new_dict                                           -      -            
     0.11%  python3.10d           [.] visit_reachable                                    -      -            
     0.11%  [unknown]             [k] 0xffffffff8aac2d8a                                 -      -            
     0.09%  libc.so.6             [.] 0x00000000001a106d                                 -      -            
     0.09%  libc.so.6             [.] 0x00000000001a1087                                 -      -            
     0.09%  libc.so.6             [.] 0x00000000001a1089                                 -      -            
     0.09%  libc.so.6             [.] 0x00000000001a110a                                 -      -            
     0.09%  python3.10d           [.] PyDict_SetItem                                     -      -            
     0.09%  python3.10d           [.] PyErr_Occurred                                     -      -            
     0.09%  python3.10d           [.] PyNumber_Subtract                                  -      -            
     0.09%  python3.10d           [.] PyObject_GetIter                                   -      -            
     0.09%  python3.10d           [.] _PyDict_LoadGlobal                                 -      -            
     0.09%  python3.10d           [.] _PyLong_Sign                                       -      -            
     0.09%  python3.10d           [.] _PyObject_GenericGetAttrWithDict                   -      -            
     0.09%  python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.23             -      -            
     0.09%  python3.10d           [.] dict_dealloc.lto_priv.0                            -      -            
     0.09%  python3.10d           [.] find_name_in_mro.lto_priv.0                        -      -            
     0.09%  python3.10d           [.] float_div.lto_priv.0                               -      -            
     0.09%  python3.10d           [.] get_tuple_state                                    -      -            
     0.09%  python3.10d           [.] get_type_cache.lto_priv.0                          -      -            
     0.09%  python3.10d           [.] list_dealloc.lto_priv.0                            -      -            
     0.09%  python3.10d           [.] lookup_maybe_method.lto_priv.0                     -      -            
     0.09%  python3.10d           [.] math_1_to_whatever                                 -      -            
     0.09%  python3.10d           [.] r_object                                           -      -            
     0.09%  python3.10d           [.] tuple_get_empty                                    -      -            
     0.09%  python3.10d           [.] tuple_iter.lto_priv.0                              -      -            
