# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cpu-clock'
# Event count (approx.): 11075075064
#
# Overhead  Shared Object         Symbol                                        IPC   [IPC Coverage]
# ........  ....................  ............................................  ....................
#
     0.14%  python3.10d           [.] long_sub.lto_priv.0                       -      -            
     0.14%  python3.10d           [.] 0x0000000000021100                        -      -            
     0.14%  libc.so.6             [.] 0x00000000001a1064                        -      -            
     0.13%  python3.10d           [.] 0x0000000000022670                        -      -            
     0.12%  libc.so.6             [.] 0x00000000001a1087                        -      -            
     0.12%  python3.10d           [.] _PyMem_DebugFree                          -      -            
     0.12%  python3.10d           [.] _PyMem_DebugMalloc                        -      -            
     0.12%  python3.10d           [.] min_max                                   -      -            
     0.11%  python3.10d           [.] PyNumber_Add                              -      -            
     0.11%  python3.10d           [.] PyObject_GenericSetAttr                   -      -            
     0.11%  python3.10d           [.] vgetargskeywords                          -      -            
     0.10%  python3.10d           [.] PyObject_GC_Del                           -      -            
     0.10%  python3.10d           [.] PyObject_RichCompare                      -      -            
     0.10%  python3.10d           [.] PyTuple_New                               -      -            
     0.10%  python3.10d           [.] object_dealloc.lto_priv.0                 -      -            
     0.09%  python3.10d           [.] math_1_to_whatever                        -      -            
     0.09%  python3.10d           [.] vgetargs1_impl                            -      -            
     0.08%  libc.so.6             [.] 0x00000000001a106a                        -      -            
     0.08%  python3.10d           [.] PyFunction_NewWithQualName                -      -            
     0.08%  python3.10d           [.] PyLong_FromLong                           -      -            
     0.08%  python3.10d           [.] PyObject_GetAttr                          -      -            
     0.08%  python3.10d           [.] cfunction_vectorcall_O.lto_priv.0         -      -            
     0.08%  python3.10d           [.] object_new.lto_priv.0                     -      -            
     0.07%  libc.so.6             [.] 0x00000000001a1050                        -      -            
     0.07%  libc.so.6             [.] 0x00000000001a106d                        -      -            
     0.07%  python3.10d           [.] _PyObject_GC_New                          -      -            
     0.07%  python3.10d           [.] app1                                      -      -            
     0.07%  python3.10d           [.] list_resize                               -      -            
     0.07%  python3.10d           [.] lookdict_unicode                          -      -            
     0.07%  python3.10d           [.] validate_list                             -      -            
     0.06%  python3.10d           [.] PyErr_Occurred                            -      -            
     0.06%  python3.10d           [.] PyList_Append                             -      -            
     0.06%  python3.10d           [.] PyMem_Free                                -      -            
     0.06%  python3.10d           [.] PyObject_Free                             -      -            
     0.06%  python3.10d           [.] _PyObject_GC_Malloc                       -      -            
     0.06%  python3.10d           [.] _PyObject_IsFreed                         -      -            
     0.06%  python3.10d           [.] address_in_range                          -      -            
     0.05%  libc.so.6             [.] 0x00000000001a1075                        -      -            
     0.05%  libc.so.6             [.] 0x00000000001a107a                        -      -            
     0.05%  libm.so.6             [.] __sqrt_finite                             -      -            
     0.05%  python3.10d           [.] PyObject_GetItem                          -      -            
     0.05%  python3.10d           [.] _PyType_LookupId                          -      -            
     0.05%  python3.10d           [.] find_name_in_mro.lto_priv.0               -      -            
     0.05%  python3.10d           [.] float_div.lto_priv.0                      -      -            
     0.05%  python3.10d           [.] tupleiter_next.lto_priv.0                 -      -            
     0.05%  [unknown]             [k] 0xffffffff98382277                        -      -            
     0.05%  libc.so.6             [.] 0x00000000001a1040                        -      -            
     0.05%  libc.so.6             [.] 0x00000000001a1092                        -      -            
     0.05%  python3.10d           [.] PyLong_FromLongLong                       -      -            
     0.05%  python3.10d           [.] PyMem_Malloc                              -      -            
     0.05%  python3.10d           [.] PyNumber_AsSsize_t                        -      -            
     0.05%  python3.10d           [.] PyObject_RichCompareBool                  -      -            
     0.05%  python3.10d           [.] _PyMem_DebugRawMalloc                     -      -            
     0.05%  python3.10d           [.] get_dict_state                            -      -            
     0.05%  python3.10d           [.] get_tuple_state                           -      -            
     0.05%  python3.10d           [.] list_dealloc.lto_priv.0                   -      -            
